10 Name,Mass (kg),Radius (km),X Position (km),Y Position (km),Z Position (km),X Velocity (km/s),Y Velocity (km/s),Z Velocity (km/s)
Solar System Barycenter,1989000000000000000000000000000,695700,484625.973667556,639988.819597729,-22896.9519603887,-0.00541458277180219,0.0115377174094053,0.000115673685673804
Mercury,330100000000000000000000,2439.5,28916752.6410741,-58600072.3274748,-7471945.87976433,34.1642486349424,23.5247947574803,-1.21334305598594
Venus,4867000000000000000000000,6052,-71459817.631825,80315396.1488344,5221238.84277965,-26.1215356295035,-23.6456965691125,1.18277499192474
Earth-Moon Barycenter,6046000000000000000000000,6378,-130519454.522486,69390244.0876998,-24855.3350781351,-14.3329676404854,-26.4769349447609,0.00119202313215005
Mars Barycenter,641700000000000000000000,3396,152638542.815241,157982654.873562,-459866.005243867,-16.5013187670299,18.9240330103218,0.801283480790018
Jupiter Barycenter,1899000000000000000000000000,71492,-789421437.581246,-204356583.802999,18503507.7724673,3.12235500716641,-12.0299566748479,-0.0198679923278302
Saturn Barycenter,568500000000000000000000000,60268,-239426715.237139,-1483377694.63623,35320787.4148771,9.00631928784672,-1.56984373991231,-0.331153704150457
Uranus Barycenter,86820000000000000000000000,25559,2731883625.26114,1197516159.27535,-30944448.4718414,-2.78384403816231,5.91963228182602,0.0580545516384449
Neptune Barycenter,102400000000000000000000000,24764,4247052169.1788,-1426700945.62767,-68497423.6531102,1.69464546367307,5.18462723797475,-0.145822080009057
Pluto Barycenter,14710000000000000000000,1185,1469032020.81436,-4754969986.40042,83880023.4658761,5.30677204046759,0.474607184605945,-1.58582334033471
