30 Name,Mass,Radius,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ
Earth (399),6.046E+024,6378,-25500645.7761458,144762248.170739,-4697.270255588,-29.8313593686983,-5.19614495645749,0.000454779056001
Mars (499),6.4185E+023,3396,-178429156.404341,171886530.185424,7974849.84532537,-15.9207678636375,-15.3609153183569,0.069263847788387
Mercury (199),3.302E+023,2439.5,-57219841.2010345,-29257259.0529692,2831344.24743865,12.1719289953777,-41.2395035646311,-4.48513278553728
Venus (299),4.8685E+024,6052,107877234.747085,4987630.48404229,-6183002.80137271,-1.81074604504113,34.8137984657425,0.581871501679649
Uranus (799),8.68103E+025,25559,2997209878.41883,180291022.743409,-38161051.7594377,-0.458979398557622,6.48027266204821,0.030095601849829
Neptune (899),1.0241E+026,24764,3891679414.15952,-2234914820.32934,-43663816.0391498,2.67131902196037,4.7453161824887,-0.159924598893443
Jupiter (599),1.89813E+027,71492,561384412.156159,487121582.682285,-14597357.2895342,-8.71884356144216,10.4932966681677,0.151525775127625
Saturn (699),5.68319E+026,60268,-1337929540.05783,-556615396.327481,62923159.2399132,3.1903352887482,-8.9400984320757,0.028540396471951
Pluto (999),1.307E+022,1185,590712649.665841,-4761905030.02484,338684470.773784,5.49961985201643,-0.413735446520624,-1.56843331440145
136108 Haumea (2003 EL61),1.09572E+021,695700,-6422367303.58902,-2097816526.37696,3517964897.98642,1.58255200072594,-3.42266651691523,0.251092817746049
50000 Quaoar (2002 LM60),1.09572E+021,695700,-843438919.726127,-6335100201.78032,860218848.760151,4.53005049448019,-0.412597801152179,0.155740144545411
136199 Eris (2003 UB313),1.09572E+021,695700,13051631314.7191,5221848774.17967,-3322499938.20001,-0.560512324233515,1.59512291941513,1.56417383513159
136472 Makemake (2005 FY9),1.09572E+021,695700,-6845122014.35898,304695885.505356,3761333915.12111,-0.497085426834301,-3.7708389149926,-0.112115232977048
Moon (301),7.349E+022,695700,-25102634.4289187,144810641.916079,29151.3653392941,-29.9181701524164,-4.22970099496368,-0.03197817853524
Europa (502),4.797E+022,695700,561132948.918831,486506530.970544,-14625678.408367,4.09991173222317,5.21262960989443,0.045519782499357
Ariel (701),1.353E+021,695700,2997346400.9707,180279547.465862,-38028296.1048638,3.21156915469352,5.13728954257305,-3.85855052253507
Ganymede (503),1.482E+023,695700,561965323.640207,488019714.376,-14556194.6081104,-17.8475363638659,16.413290618383,0.257716057450045
Io (501),8.933E+022,695700,561392573.301246,487541704.795331,-14581932.3366789,-26.1027007359712,10.8885073727087,-0.078934539661486
Rhea (605),2.309E+021,695700,-1338304610.12954,-556928712.094653,63121124.6786365,9.11189675220786,-14.5503513287478,2.34984916713898
Oberon (704),3.014E+021,695700,2997777004.38779,180177468.261678,-38092741.9192513,-0.187803538219054,5.98005623570097,-3.07538888680248
225088 (2007 OR10),1.09572E+021,695700,11349552894.7741,-6169938869.61373,-720675765.555867,2.08175711461805,1.25603308181795,1.17662235758581
Titan (606),1.34553E+023,695700,-1337824669.32732,-555531155.154657,62353243.93981,-2.29106526926551,-8.16036951282731,0.168283591940625
Callisto (504),1.076E+023,695700,562137383.550865,485402411.851499,-14642186.2202393,-1.20677729520365,13.8394562394459,0.358797411757051
Umbriel (702),1.172E+021,695700,2997125717.42089,180343413.318637,-37915050.8606307,3.86343137525131,5.76367466882038,1.67772257957124
Triton (801),2.147E+022,695700,3891480719.40082,-2235188812.59692,-43770132.5031245,-0.279500854092187,5.67697924063321,2.9538974716727
Charon (901),1.53E+021,695700,590698607.943,-4761918336.76093,338687618.853465,5.46303342089284,-0.327253214372623,-1.36607073453293
Titania (703),3.527E+021,695700,2997001732.74234,180388786.255313,-37789727.8178313,2.64662364489923,6.05812009815118,1.88191760628543
Dione (604),1.09572E+021,695700,-1337640640.85033,-556413730.746719,62789482.7730274,-3.18742633415309,-1.82793372108082,-3.07290675110423
Iapetus (608),1.8059E+021,695700,-1336042674.4941,-559571119.262577,63234058.9649984,5.85517941679367,-7.23256602678908,-0.906442063635525
Sun (10),1.989E+030,695700,-484975.428368326,-199182.259892767,-126.217908041275,0.007394388736364,-0.008048693098633,-0.000146648401444
